,Accuracy,Loss,Precision,Recall,F1-Score,ROC AUC,PR AUC
Baseline,0.5959843290891284,0.679656768900381,0.36467627545184167,0.5418082936777702,0.4359360043757692,0.6090313947097564,0.3659620383315379
Dense,0.7120470127326151,0.581507058519051,0.5021459227467812,0.07953772943575799,0.13732394366197184,0.637518533885911,0.39537386898954
Wide&Deep,0.7099902056807051,0.579652205990323,0.4821763602251407,0.08735554044867437,0.1479136690647482,0.6399218826873769,0.3960440338695165
