,Accuracy,Log Loss,Precision,Recall,F1-Score,ROC AUC,PR AUC
Baseline (Logistic Regression),0.5887365328109696,0.6749203681129888,0.3631017207580048,0.5666213460231135,0.442585955130758,0.6115311075584582,0.375993158421982
FNN,0.7124387855044074,0.6287430923463151,0.5441176470588235,0.01257647858599592,0.02458471760797342,0.5814813087888502,0.3556949425938842
Wide & Deep,0.7106758080313418,0.6332902309290994,0.47674418604651164,0.041808293677770225,0.076875,0.5796831991610318,0.3552184688522629
